Time (ms),Joint 1 (deg),Joint 2 (deg),Joint 3 (deg),Joint 4 (deg),Joint 5 (deg),Joint 6 (deg),Twin 1 (deg),Twin 2 (deg),Twin 3 (deg),Twin 4 (deg),Twin 5 (deg),Twin 6 (deg)
0.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
0.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
0.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
0.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
0.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
0.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
0.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
0.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
0.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
1.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
1.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
1.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
1.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
1.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
1.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
1.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
1.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
1.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
2.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
2.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
2.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
2.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
2.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
2.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
2.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
2.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
2.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
3.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
3.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
3.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
3.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
3.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
3.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
3.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
3.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
3.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
4.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
4.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
4.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
4.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
4.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
4.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
4.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
4.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
4.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
5.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
5.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
5.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
5.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
5.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
5.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
5.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
5.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
5.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
6.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
6.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
6.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
6.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
6.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
6.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
6.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
6.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
6.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
7.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
7.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
7.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
7.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
7.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
7.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
7.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
7.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
7.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
8.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
8.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
8.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
8.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
8.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
8.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
8.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
8.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
8.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
